order_id,target_late,n_items,total_price,total_freight,freight_to_price_ratio,payment_installments,payment_type,promised_days,purchase_weekday,purchase_month,cross_state,product_category,seller_hist_late_rate
O02683,0,1,101.77,35.4,0.3478,4,voucher,19,3,9,0,casa_utilidades,0.0
O01077,0,1,263.56,19.49,0.0739,1,credit_card,20,3,9,0,malas_acessorios,0.0
O04819,1,1,55.64,38.69,0.6954,1,boleto,11,3,9,0,musica_arte,0.0
O01350,1,1,444.69,42.56,0.0957,5,boleto,18,3,9,0,esporte_lazer,0.3333333333333333
O01026,1,1,102.28,46.64,0.456,4,boleto,20,3,9,0,cama_mesa_banho,0.5
O00917,1,2,687.83,63.29,0.0898,3,credit_card,9,3,9,0,cool_stuff,0.6
O00118,0,2,612.15,77.69,0.1272,1,debit_card,14,3,9,0,moveis_decoracao,0.7142857142857143
O03106,0,1,180.98,23.48,0.1297,12,credit_card,23,4,9,0,construcao_ferramentas,0.5555555555555556
O03310,1,1,452.85,34.45,0.0761,4,debit_card,12,4,9,0,casa_sala,0.5
O03991,0,1,265.27,5.83,0.022,10,boleto,15,4,9,0,la_cuisine,0.5454545454545454
O02959,0,4,1038.99,146.34,0.2638,3,boleto,12,4,9,0,casa_garagem,0.5
O03210,0,2,197.77,91.42,1.0722,4,credit_card,14,4,9,0,eletrodomesticos_2,0.375
O04317,1,2,912.42,62.09,0.0691,1,voucher,17,4,9,0,fashion_calcados,0.3333333333333333
O01811,0,1,63.47,38.15,0.6011,3,voucher,24,4,9,0,papelaria,0.4
O04098,1,1,185.47,47.75,0.2575,4,debit_card,23,4,9,0,audio,0.38095238095238093
O03690,0,2,286.31,39.89,0.49,3,debit_card,12,5,9,0,casa_construcao,0.4090909090909091
O00691,0,3,173.83,103.94,1.4588,1,boleto,17,5,9,0,fashion_roupa_feminina,0.375
O02607,1,4,1030.67,128.88,0.3859,6,boleto,21,6,9,0,cama_mesa_banho,0.3333333333333333
O03140,0,2,713.28,68.26,0.0984,9,voucher,23,6,9,0,casa_jardim,0.41935483870967744
O04066,0,1,27.29,5.49,0.2012,3,boleto,21,6,9,0,portateis_cozinha,0.3939393939393939
O01369,0,2,537.77,83.26,0.2293,1,debit_card,10,6,9,0,carnes,0.38235294117647056
O02974,1,2,74.56,46.09,0.6413,2,voucher,23,6,9,0,cool_stuff,0.3611111111111111
O02796,0,2,412.54,62.55,0.3308,1,voucher,6,6,9,0,casa_banheiro,0.39473684210526316
O02866,1,2,463.17,48.73,0.112,4,boleto,23,6,9,0,eletrodomesticos_2,0.375
