order_id,customer_id,customer_state,customer_city,order_status,order_purchase_timestamp,order_approved_at,order_delivered_customer_date,order_estimated_delivery_date,is_late,delivery_days,promised_days,n_items,total_price,total_freight,freight_to_price_ratio,cross_state,product_category,avg_review_score
O00015,C01033,RR,caracarai,delivered,2017-03-03 21:15:18,2017-03-05 14:15:18,2017-03-18 21:15:18,2017-03-28 21:15:18,0,15,25,4,1358.06,89.1,0.0978,1,alimentos_bebidas,5.0
O00037,C01050,ES,serra,delivered,2018-05-15 06:55:26,2018-05-15 19:55:26,2018-05-24 06:55:26,2018-05-28 06:55:26,0,9,13,2,310.27,74.3,0.7487,1,casa_escritorio,5.0
O00059,C00820,TO,porto nacional,delivered,2017-01-02 21:56:13,2017-01-04 09:56:13,2017-01-20 21:56:13,2017-01-26 21:56:13,0,18,24,4,983.31,66.77,0.0795,1,carnes,5.0
O00074,C00385,PE,jaboatao,delivered,2018-09-28 12:44:41,2018-09-28 19:44:41,2018-10-27 12:44:41,2018-10-21 12:44:41,1,29,23,1,325.18,17.27,0.0531,1,la_cuisine,3.0
O00091,C01015,MS,dourados,delivered,2017-07-17 13:15:08,2017-07-18 00:15:08,2017-07-31 13:15:08,2017-08-11 13:15:08,0,14,25,2,363.1,88.48,0.2443,1,casa_escritorio,4.0
O00092,C00590,ES,cariacica,delivered,2017-11-22 08:37:17,2017-11-24 07:37:17,2017-11-30 08:37:17,2017-12-13 08:37:17,0,8,21,2,733.79,61.12,0.0843,1,market_place,4.0
O00093,C01860,PR,maringa,delivered,2018-09-11 14:50:19,2018-09-13 14:50:19,2018-10-06 14:50:19,2018-09-23 14:50:19,1,25,12,2,721.15,42.7,0.0589,1,casa_garagem,1.0
O00099,C00968,AP,macapa,delivered,2017-02-17 22:12:20,2017-02-18 01:12:20,2017-03-10 22:12:20,2017-03-03 22:12:20,1,21,14,2,834.47,47.21,0.0583,1,alimentos_bebidas,3.0
O00103,C01359,GO,anapolis,delivered,2018-09-26 17:47:07,2018-09-27 10:47:07,2018-09-29 17:47:07,2018-10-12 17:47:07,0,3,16,1,58.2,7.77,0.1335,1,malas_acessorios,5.0
O00108,C00737,RN,mossoro,delivered,2017-07-18 11:42:06,2017-07-20 11:42:06,2017-08-02 11:42:06,2017-08-12 11:42:06,0,15,25,2,537.09,50.41,0.1259,1,eletrodomesticos_2,5.0
O00112,C01066,PE,jaboatao,delivered,2018-02-16 06:11:55,2018-02-17 22:11:55,2018-03-16 06:11:55,2018-03-07 06:11:55,1,28,19,1,46.77,25.2,0.5388,1,casa_garagem,1.0
O00131,C01961,RR,alto alegre,delivered,2018-06-16 20:59:01,2018-06-17 02:59:01,2018-07-08 20:59:01,2018-06-30 20:59:01,1,22,14,1,75.81,43.98,0.5801,1,casa_conforto,2.0
O00142,C00001,SE,aracaju,delivered,2017-04-26 17:04:36,2017-04-28 08:04:36,2017-05-15 17:04:36,2017-05-04 17:04:36,1,19,8,1,335.5,16.51,0.0492,1,relogios_presentes,2.0
O00151,C00058,SP,sao paulo,delivered,2017-11-15 06:44:46,2017-11-16 12:44:46,2017-11-30 06:44:46,2017-11-20 06:44:46,1,15,5,2,426.54,34.32,0.1213,1,casa_outros,2.0
O00165,C01890,RR,caracarai,delivered,2016-12-09 23:53:02,2016-12-10 03:53:02,2016-12-15 23:53:02,2016-12-15 23:53:02,0,6,6,1,342.78,5.41,0.0158,0,bebes,5.0
O00172,C00198,RR,boa vista,delivered,2017-07-14 04:30:24,2017-07-14 07:30:24,2017-07-17 04:30:24,2017-07-30 04:30:24,0,3,16,1,333.11,39.77,0.1194,1,livros_interesse,5.0
O00183,C01194,SE,aracaju,delivered,2018-09-02 15:21:31,2018-09-03 08:21:31,2018-09-06 15:21:31,2018-09-17 15:21:31,0,4,15,1,65.64,42.62,0.6493,1,casa_banheiro,5.0
O00185,C00286,RR,alto alegre,delivered,2017-07-15 06:22:10,2017-07-16 18:22:10,2017-07-28 06:22:10,2017-07-21 06:22:10,1,13,6,1,139.74,34.1,0.244,1,moveis_presentes,5.0
O00189,C00981,AC,sena madureira,delivered,2017-03-21 02:47:21,2017-03-21 20:47:21,2017-03-27 02:47:21,2017-03-27 02:47:21,0,6,6,2,641.56,66.89,0.1116,1,carnes,5.0
O00192,C01585,AL,rio largo,delivered,2017-07-02 17:54:26,2017-07-04 04:54:26,2017-07-17 17:54:26,2017-07-07 17:54:26,1,15,5,2,681.93,51.7,0.0737,1,casa_escritorio,2.0
O00198,C00157,PB,bayeux,delivered,2016-11-28 00:14:10,2016-11-28 09:14:10,2016-12-10 00:14:10,2016-12-04 00:14:10,1,12,6,1,219.3,41.3,0.1883,1,papelaria,3.0
O00202,C01839,MS,corumba,delivered,2017-08-09 04:54:19,2017-08-10 09:54:19,2017-08-23 04:54:19,2017-08-31 04:54:19,0,14,22,1,134.11,49.0,0.3654,1,flores,5.0
O00204,C01032,SC,joinville,delivered,2017-02-10 03:30:01,2017-02-10 07:30:01,2017-02-26 03:30:01,2017-03-06 03:30:01,0,16,24,5,1580.69,130.24,0.0968,1,artigos_nautica,5.0
O00205,C00996,ES,cariacica,delivered,2017-11-09 15:05:52,2017-11-09 21:05:52,2017-11-16 15:05:52,2017-11-30 15:05:52,0,7,21,1,377.26,49.03,0.13,1,perfumaria,5.0
O00211,C01015,MS,dourados,delivered,2016-09-30 06:43:19,2016-10-01 07:43:19,2016-10-04 06:43:19,2016-10-12 06:43:19,0,4,12,2,476.91,54.12,0.1098,1,casa_garagem,3.0
O00242,C00161,AM,parintins,delivered,2016-12-30 02:22:45,2016-12-30 17:22:45,2017-01-20 02:22:45,2017-01-24 02:22:45,0,21,25,2,438.04,26.92,0.0997,1,casa_utilidades,5.0
O00256,C01568,DF,brasilia,delivered,2018-08-31 21:39:37,2018-09-02 21:39:37,2018-09-30 21:39:37,2018-09-06 21:39:37,1,30,6,1,97.43,24.44,0.2508,1,casa_conforto,4.0
O00289,C01004,RS,canoas,delivered,2018-05-03 06:39:02,2018-05-04 21:39:02,2018-05-21 06:39:02,2018-05-17 06:39:02,1,18,14,1,109.06,6.68,0.0613,1,flores,3.0
O00294,C01444,ES,linhares,delivered,2017-03-18 22:20:35,2017-03-20 05:20:35,2017-04-17 22:20:35,2017-04-07 22:20:35,1,30,20,1,168.46,28.54,0.1694,1,cool_stuff,2.0
O00305,C00595,SP,sao paulo,delivered,2017-05-09 17:35:01,2017-05-10 17:35:01,2017-05-18 17:35:01,2017-05-31 17:35:01,0,9,22,1,429.47,38.35,0.0893,1,construcao_ferramentas,3.0
O00311,C00157,PB,bayeux,delivered,2016-12-24 18:49:40,2016-12-26 03:49:40,2017-01-20 18:49:40,2017-01-11 18:49:40,1,27,18,1,340.06,9.11,0.0268,1,informatica_acessorios,3.0
O00326,C01227,RS,canoas,delivered,2018-05-25 12:41:47,2018-05-25 13:41:47,2018-06-03 12:41:47,2018-06-16 12:41:47,0,9,22,1,355.38,42.45,0.1194,1,cool_stuff,3.0
O00335,C00340,AP,laranjal do jari,delivered,2017-04-08 20:09:30,2017-04-09 15:09:30,2017-04-17 20:09:30,2017-05-02 20:09:30,0,9,24,3,877.08,80.41,0.4365,1,casa_utilidades,3.0
O00358,C00365,RR,rorainopolis,delivered,2016-10-10 07:05:11,2016-10-11 07:05:11,2016-11-06 07:05:11,2016-10-26 07:05:11,1,27,16,5,1615.09,162.86,0.1171,1,casa_escritorio,2.0
O00365,C00562,RN,mossoro,delivered,2016-11-28 21:34:37,2016-11-30 10:34:37,2016-12-28 21:34:37,2016-12-18 21:34:37,1,30,20,3,637.87,73.35,0.1243,1,brinquedos,1.0
O00382,C00110,AP,laranjal do jari,delivered,2018-04-13 05:43:07,2018-04-15 03:43:07,2018-04-24 05:43:07,2018-04-22 05:43:07,1,11,9,2,427.93,64.79,0.3764,1,eletrodomesticos_2,2.0
O00390,C01700,AM,parintins,delivered,2017-10-23 19:11:13,2017-10-24 01:11:13,2017-11-01 19:11:13,2017-11-05 19:11:13,0,9,13,1,443.19,8.97,0.0202,1,moveis_escritorio,5.0
O00399,C00518,MA,sao jose de ribamar,delivered,2018-04-03 18:27:19,2018-04-05 09:27:19,2018-04-27 18:27:19,2018-04-20 18:27:19,1,24,17,2,439.45,25.54,0.2635,1,moveis_cozinha,3.0
O00402,C00821,MS,ponta pora,delivered,2016-10-15 08:36:50,2016-10-15 19:36:50,2016-10-27 08:36:50,2016-11-08 08:36:50,0,12,24,1,34.26,5.31,0.155,1,consoles_games,5.0
O00405,C01642,PA,belem,delivered,2018-02-20 15:38:04,2018-02-21 21:38:04,2018-03-09 15:38:04,2018-02-25 15:38:04,1,17,5,1,91.83,33.86,0.3687,1,casa_utilidades,4.0
